"business_id","Score","date","type"
673,"100","20131213","routine"
673,"86","20130607","routine"
673,"98","20120516","routine"
673,"100","20110914","routine"
687,"83","20140618","routine"
687,"82","20130509","routine"
687,"60","20120208","routine"
691,"86","20140827","routine"
691,"91","20140109","routine"
691,"94","20130523","routine"
691,"92","20120801","routine"
691,"86","20120126","routine"
695,"98","20140619","routine"
695,"96","20131231","routine"
695,"94","20130410","routine"
695,"92","20120711","routine"
695,"100","20110928","routine"
696,"92","20130808","routine"
696,"96","20120515","routine"
696,"94","20120206","routine"
700,"81","20140123","routine"
700,"68","20130507","routine"
700,"76","20120724","routine"
700,"76","20111129","routine"
703,"75","20130514","routine"
703,"86","20120906","routine"
703,"90","20120228","routine"
709,"92","20130416","routine"
709,"90","20120403","routine"
709,"96","20110913","routine"
711,"74","20130409","routine"
711,"84","20111024","routine"
712,"94","20130227","routine"
712,"96","20120313","routine"
722,"89","20140731","routine"
722,"88","20130812","routine"
722,"90","20121129","routine"
722,"80","20120515","routine"
722,"89","20111117","routine"
726,"90","20140113","routine"
726,"96","20130328","routine"
726,"87","20120907","routine"
726,"92","20120209","routine"
727,"92","20140428","routine"
727,"84","20121023","routine"
727,"92","20120210","routine"
728,"92","20140428","routine"
728,"92","20121022","routine"
728,"94","20120208","routine"
729,"81","20140213","routine"
729,"81","20130712","routine"
729,"84","20120614","routine"
729,"66","20110916","routine"
730,"94","20140828","routine"
730,"92","20140224","routine"
730,"92","20130808","routine"
730,"92","20121120","routine"
730,"90","20120427","routine"
730,"90","20111121","routine"
741,"83","20140818","routine"
741,"86","20140203","routine"
741,"86","20130503","routine"
741,"98","20120801","routine"
744,"90","20140423","routine"
744,"85","20130805","routine"
744,"85","20130214","routine"
744,"92","20120927","routine"
744,"84","20120208","routine"
750,"89","20140307","routine"
750,"89","20140214","routine"
750,"89","20130311","routine"
750,"98","20120327","routine"
754,"92","20140303","routine"
754,"88","20130204","routine"
754,"86","20120229","routine"
758,"100","20140609","routine"
758,"96","20130628","routine"
758,"98","20130111","routine"
758,"96","20120412","routine"
759,"100","20140609","routine"
759,"100","20130628","routine"
759,"98","20130111","routine"
759,"98","20120412","routine"
760,"96","20130611","routine"
760,"96","20120625","routine"
760,"100","20110930","routine"
765,"96","20140529","routine"
765,"96","20131119","routine"
765,"90","20130204","routine"
765,"96","20120524","routine"
765,"86","20111003","routine"
768,"100","20140512","routine"
768,"94","20131008","routine"
768,"98","20121113","routine"
768,"73","20120314","routine"
770,"83","20131106","routine"
770,"90","20130606","routine"
770,"80","20121017","routine"
770,"100","20120217","routine"
773,"94","20140527","routine"
773,"94","20130925","routine"
773,"100","20120618","routine"
774,"94","20130923","routine"
774,"100","20120618","routine"
783,"92","20140506","routine"
783,"91","20130813","routine"
783,"94","20130123","routine"
783,"91","20120625","routine"
783,"98","20120109","routine"
786,"90","20140627","routine"
786,"96","20130326","routine"
786,"93","20120606","routine"
786,"92","20111101","routine"
790,"93","20130207","routine"
790,"96","20120509","routine"
790,"98","20111020","routine"
792,"94","20140206","routine"
792,"90","20130530","routine"
792,"94","20120328","routine"
792,"100","20110912","routine"
795,"96","20140318","routine"
795,"96","20130610","routine"
795,"94","20120420","routine"
795,"88","20110913","routine"
796,"76","20130326","routine"
796,"88","20120912","routine"
798,"90","20140213","routine"
798,"89","20130712","routine"
798,"96","20121218","routine"
798,"87","20120207","routine"
799,"98","20140319","routine"
799,"100","20130716","routine"
799,"96","20120518","routine"
799,"98","20111017","routine"
805,"64","20140224","routine"
805,"71","20131008","routine"
805,"83","20130220","routine"
805,"72","20120109","routine"
805,"71","20111003","routine"
809,"86","20140311","routine"
809,"82","20130726","routine"
